Approved,Credit_Score,Annual_Income,Debt_To_Income_Ratio,Loan_Amount,Employment_Status,Housing_Status,Loan_Purpose
0,608,46500,54.6,16300,Part-time,Rent,Auto
0,629,93800,26.7,33900,Full-time,Rent,Auto
1,653,77100,12,42300,Full-time,Own,Debt consolidation
0,709,42800,33.8,19600,Part-time,Rent,Debt consolidation
0,572,100800,29.4,68900,Full-time,Mortgage,Debt consolidation
1,726,61700,26.3,35200,Full-time,Rent,Debt consolidation
1,624,42900,19.3,7000,Full-time,Mortgage,Debt consolidation
0,732,116500,21.3,46400,Self-employed,Mortgage,Auto
1,657,59300,36.7,13800,Part-time,Rent,Debt consolidation
1,633,55400,21.5,21400,Full-time,Rent,Auto
0,650,88500,27.8,15800,Full-time,Mortgage,Home improvement
0,638,52000,38.7,17700,Full-time,Mortgage,Debt consolidation
0,643,72000,44.1,36100,Retired,Rent,Medical
1,646,111400,24.1,27800,Full-time,Own,Debt consolidation
0,564,32300,37.8,12000,Part-time,Mortgage,Debt consolidation
0,664,109400,32.7,29000,Full-time,Own,Home improvement
0,653,35700,22.8,16100,Part-time,Rent,Medical
0,618,70000,33.6,35400,Full-time,Own,Debt consolidation
0,726,58500,62,15600,Retired,Mortgage,Medical
1,684,65000,33.8,12400,Full-time,Mortgage,Debt consolidation
0,668,31400,35.1,6200,Part-time,Mortgage,Auto
0,656,52300,14.9,32600,Full-time,Rent,Home improvement
0,674,35300,49.1,15300,Part-time,Mortgage,Home improvement
0,604,45800,17.7,14800,Full-time,Rent,Medical
1,751,106800,19.4,41700,Full-time,Own,Auto
1,632,132300,40.5,26200,Full-time,Own,Debt consolidation
0,677,36500,49.5,15300,Retired,Rent,Home improvement
0,647,60700,62,24100,Self-employed,Mortgage,Debt consolidation
0,639,81800,27.9,23800,Full-time,Mortgage,Home improvement
1,548,66400,25.3,31900,Full-time,Mortgage,Debt consolidation
0,653,42500,12.4,11900,Full-time,Own,Medical
1,632,81000,24.6,30900,Full-time,Own,Home improvement
1,766,88500,41.9,16800,Full-time,Mortgage,Debt consolidation
1,701,105700,19.6,56300,Full-time,Own,Auto
0,674,44200,50.9,7400,Retired,Rent,Debt consolidation
1,727,57100,51.6,19500,Self-employed,Own,Medical
1,744,112800,43.6,42400,Full-time,Mortgage,Debt consolidation
0,702,57500,37.4,45800,Full-time,Rent,Auto
0,587,68800,52.2,31900,Full-time,Rent,Debt consolidation
0,593,36500,40.3,7700,Full-time,Rent,Auto
1,630,69500,20.9,8000,Full-time,Own,Debt consolidation
0,597,34500,38.5,8600,Full-time,Rent,Home improvement
1,687,47900,34.6,32400,Full-time,Mortgage,Debt consolidation
0,670,87300,38.3,25300,Self-employed,Rent,Debt consolidation
0,533,30800,62,17800,Part-time,Rent,Debt consolidation
1,671,76100,32.1,16300,Full-time,Mortgage,Debt consolidation
0,730,111400,15.1,27200,Full-time,Own,Debt consolidation
0,639,40700,32.8,28200,Full-time,Rent,Medical
0,657,76500,30,22600,Self-employed,Own,Home improvement
0,631,31900,40.1,9400,Part-time,Rent,Auto
0,594,91000,36.7,36300,Full-time,Rent,Medical
1,697,75000,12.5,28400,Full-time,Own,Debt consolidation
0,685,52000,31.9,14500,Retired,Mortgage,Home improvement
